QUESTION	CONTEXT	BASE	TARGET	HUMAN_RANK
A1	null	sports arena	stadium	1
A1	null	ball park	stadium	2
A1	null	athletic field	stadium	3
A1	null	tennis court	stadium	4
A1	null	theater	stadium	5
A1	null	commons	stadium	9
A1	null	museum	stadium	6
A1	null	building	stadium	7
A1	null	library	stadium	8
A1	null	house	stadium	10
A1	null	transportation	stadium	11
A2	play sports	sports arena	stadium	2
A2	play sports	ball park	stadium	3
A2	play sports	athletic field	stadium	1
A2	play sports	tennis court	stadium	4
A2	play sports	theater	stadium	8
A2	play sports	commons	stadium	5
A2	play sports	museum	stadium	9.5
A2	play sports	building	stadium	6
A2	play sports	library	stadium	11
A2	play sports	house	stadium	7
A2	play sports	transportation	stadium	9.5
A3	constructions	sports arena	stadium	1
A3	constructions	ball park	stadium	2
A3	constructions	athletic field	stadium	3
A3	constructions	tennis court	stadium	5
A3	constructions	theater	stadium	4
A3	constructions	commons	stadium	7
A3	constructions	museum	stadium	8
A3	constructions	building	stadium	6
A3	constructions	library	stadium	9
A3	constructions	house	stadium	10
A3	constructions	transportation	stadium	11
B1	null	ball park	athletic field	1
B1	null	sports arena	athletic field	2.5
B1	null	stadium	athletic field	2.5
B1	null	tennis court	athletic field	4
B1	null	commons	athletic field	5
B1	null	theater	athletic field	6
B1	null	building	athletic field	7
B1	null	house	athletic field	9
B1	null	transportation	athletic field	10
B1	null	museum	athletic field	8
B1	null	library	athletic field	11
B2	play sports	ball park	athletic field	1
B2	play sports	sports arena	athletic field	2.5
B2	play sports	stadium	athletic field	2.5
B2	play sports	tennis court	athletic field	4
B2	play sports	commons	athletic field	5
B2	play sports	theater	athletic field	8
B2	play sports	building	athletic field	6
B2	play sports	house	athletic field	7
B2	play sports	transportation	athletic field	9
B2	play sports	museum	athletic field	10
B2	play sports	library	athletic field	11
B3	constructions	ball park	athletic field	1
B3	constructions	sports arena	athletic field	2
B3	constructions	stadium	athletic field	3
B3	constructions	tennis court	athletic field	4
B3	constructions	commons	athletic field	5
B3	constructions	theater	athletic field	6
B3	constructions	building	athletic field	7
B3	constructions	house	athletic field	9
B3	constructions	transportation	athletic field	8
B3	constructions	museum	athletic field	10
B3	constructions	library	athletic field	11
A4	transportation	road	travelway	1
A4	transportation	highway	travelway	2
A4	transportation	path	travelway	3
A4	transportation	railway	travelway	4
A4	transportation	bridge	travelway	5
A4	transportation	transportation	travelway	6
A4	transportation	subway station	travelway	7
A4	transportation	airport	travelway	8.5
A4	transportation	terminal	travelway	8.5
A4	transportation	port	travelway	10
B4	transportation	road	path	1
B4	transportation	travelway	path	2
B4	transportation	bridge	path	3
B4	transportation	highway	path	4
B4	transportation	railway	path	5
B4	transportation	transportation	path	6
B4	transportation	subway station	path	7
B4	transportation	terminal	path	8
B4	transportation	port	path	9
B4	transportation	airport	path	10
A5	null	forest	lake	8.5
A5	null	city	lake	6
A5	null	desert	lake	8.5
A5	null	river	lake	3
A5	null	beach	lake	5
A5	null	lagoon	lake	2
A5	null	island	lake	8.5
A5	null	wetland	lake	4
A5	null	bridge	lake	11
A5	null	pond	lake	1
A5	null	mountain	lake	8.5
B5	null	forest	lake	8
B5	null	city	lake	10
B5	null	desert	lake	11
B5	null	river	lake	3
B5	null	beach	lake	5.5
B5	null	lagoon	lake	2
B5	null	island	lake	5.5
B5	null	wetland	lake	4
B5	null	bridge	lake	7
B5	null	pond	lake	1
B5	null	mountain	lake	9
